baby [1]:2:2256,2348
back [1]:16:300,814,1296,1436,1842,2328,2579,2610,2613,2708,2738,3016,3031,3051,3651,4269
backed [1]:1:2692
backyard [1]:1:2464
bake [1]:3:2562,2622,2645
bakery [1]:6:1579,2741,2845,2957,3019,3054
ball [1]:3:528,1366,1421
band [1]:1:2431
bare [1]:1:2630
bathe [1]:1:1185
be [1]:21:265,483,495,789,1237,1786,2105,2134,2366,2517,3529,3559,3639,3667,3849,3924,3979,4073,4263,4298,4339
beat [1]:1:3311
because [1]:16:242,760,962,1030,1244,1343,1465,2035,2381,2913,2980,2984,3090,3555,3769,3985
become [1]:3:513,1063,1939
bed [1]:3:1814,2471,3228
bee [1]:2:3265,4260
been [1]:16:2,55,220,272,524,537,546,1179,2247,2272,2556,2747,3280,3687,3754,4355
beenkilled [1]:1:1698
before [1]:5:106,2008,2021,3097,3678
began [1]:1:2940
begin [1]:2:473,1617
behind [1]:6:736,1294,2444,2705,2755,3060
believe [1]:1:608
bell [1]:2:2958,3426
beside [1]:2:2372,3892
best [1]:2:257,1924
bet [1]:1:899
better [1]:1:2829
betting [1]:1:952
between [1]:1:3462
beyond [1]:2:959,4341
big [1]:1:922
bin [1]:3:2522,2553,2624
bits [1]:1:111
bitter [1]:1:1708
black [1]:3:439,2918,3193
blacken [1]:1:3361
blanket [1]:1:1811
blind [1]:1:233
blond [1]:2:1506,2700
blow [1]:1:2858
blown [1]:1:109
blue [1]:1:1535
blurt [1]:1:357
body [1]:2:1734,2206
boil [1]:1:2316
bold [1]:2:166,997
bone [1]:2:2308,2530
both [1]:1:4185
bother [1]:1:4036
bought [1]:1:1914
bow [1]:2:40,176
boy [1]:12:531,534,1399,1425,2698,2895,2969,3012,3246,3348,3464,4362
branch [1]:1:2415
brat [1]:1:2668
brave [1]:2:279,4321
bravo [1]:1:863
bread [1]:13:2567,2905,2938,2983,3040,3127,3198,3211,3251,3299,3323,3469,3621
breakfast [1]:1:3325
breath [1]:1:1173
bring [1]:3:671,3997,4268
broth [1]:1:1571
brush [1]:1:2015
buckle [1]:1:2788
bug [1]:1:2058
build [1]:1:1504
building [1]:1:3722
bundle [1]:1:2346
burned [1]:5:2937,2947,3077,3128,3249
bury [1]:1:121
business [1]:2:2457,3955
but [1]:44:15,87,162,211,259,288,581,600,606,660,1044,1132,1263,1333,1389,1533,1562,1580,1636,1680,1799,1872,1888,2066,2223,2264,2315,2509,2543,2719,2743,2888,2975,3132,3171,3273,3374,3542,3708,3976,4020,4085,4281,4310
butch [1]:1:2533
buttons [1]:1:901
buy [1]:1:2936
by [1]:10:181,1834,2136,2332,2507,2593,3140,3205,3941,4132
