fabric [1]:1:3796
face [1]:3:654,1524,4306
faces [1]:1:1984
fact [1]:1:253
faint [1]:1:663
fair [1]:1:2526
fall [1]:4:276,1509,2240,2909
familiar [1]:1:3989
family [1]:4:1596,1908,2159,2545
far [1]:3:1601,2766,4340
faroff [1]:1:372
fast [1]:1:4319
fate [1]:1:2142
father [1]:11:99,183,203,712,972,1696,1887,2030,2281,2300,3443
favor [1]:1:1488
fear [1]:2:2360,4222
feature [1]:1:399
feed [1]:3:2121,2164,2923
feel [1]:3:500,808,3509
feeling [1]:1:3530
feet [1]:3:2371,2867,3096
fell [1]:1:3230
felt [1]:2:2572,4224
fence [1]:2:14,53
few [1]:4:187,237,278,3902
fight [1]:2:3565,4204
fighting [1]:1:842
file [0]:1:3
filled [1]:1:3212
final [1]:2:876,2783
find [1]:2:96,4149
fine [1]:1:3071
finger [1]:3:1082,2607,3793
finish [1]:1:3596
fire [1]:3:2411,2912,3225
first [1]:4:1067,1430,3420,3861
five [1]:2:126,687
fixed [1]:1:1816
flame [1]:1:3261
flesheaters [1]:1:60
flit [1]:1:3506
floor [1]:1:4151
flu [1]:1:2218
fluffy [1]:1:3341
follow [1]:2:86,3047
food [1]:3:90,465,1916
fool [1]:1:2225
for [1]:35:4,134,223,246,621,628,710,1165,1194,1209,1313,1318,1349,1560,1602,1770,1948,2024,2110,2309,2359,2475,3075,3082,3324,3381,3399,3604,3808,3815,3900,3929,3960,4018,4360
forbidden [1]:1:2502
force [1]:1:2611
forced [1]:1:3176
forehead [1]:1:1514
forgotten [1]:1:1678
form [1]:2:998,2498
fortunate [1]:1:1133
forward [1]:4:550,731,1566,1991
found [1]:5:215,2325,2437,2626,3386
free [1]:1:70
fresh [1]:2:247,2566
friend [1]:2:1662,3366
frighten [1]:1:2285
from [1]:17:45,370,526,812,966,1849,1957,2157,2194,2412,2669,2704,2945,3391,4232,4272,4345
front [1]:3:1211,2956,3717
fueland [1]:1:4105
funeral [1]:1:1110
