jabber [5]:2:145,247
jabberjays [45]:1:841
jack [45]:1:838;[46]:2:14,296;[48]:7:132,241,338,386,415,656,846;[49]:4:538,667,885,951;[50]:3:124,478,596;[51]:1:82;[52]:1:632;[53]:2:40,718;[54]:2:544,757;[55]:2:56,508;[60]:1:787;[64]:1:857;[65]:1:260
jacket [1]:3:179,202,671;[16]:2:849,876;[17]:1:301;[33]:2:633,642;[42]:2:436,461;[44]:1:492;[45]:1:451;[52]:1:467;[59]:2:126,860;[66]:1:268;[67]:1:85;[68]:1:675
january [24]:1:61;[58]:1:653
jar [46]:1:646
jaw [8]:2:859,951;[9]:1:911;[49]:1:115
jay [5]:3:98,146,248
jealous [14]:1:170;[19]:1:962
jeopardize [64]:1:265
jerk [10]:1:21;[16]:1:357;[57]:1:435;[65]:1:871
jet [17]:1:656
jewel [12]:1:43;[27]:1:640;[29]:1:46
job [6]:1:543;[11]:1:412;[13]:1:572;[23]:1:234;[39]:1:11;[46]:1:444;[55]:1:360;[56]:1:562;[57]:1:380;[58]:1:733
jog [35]:1:235
jogging [35]:1:252
johanna [4]:1:590
join [13]:1:861;[19]:1:642;[21]:1:190;[24]:1:755;[28]:1:841;[29]:1:206;[60]:1:693
joined [29]:1:437
joint [40]:1:825;[49]:1:862;[50]:1:604
joke [3]:1:476;[5]:1:220;[19]:1:308;[22]:1:292;[28]:2:809,924;[65]:1:890
joking [7]:1:560;[51]:1:452
jolt [53]:1:289
jotting [20]:1:561
journey [4]:1:773;[37]:2:193,201;[38]:1:234
joy [1]:1:814
judge [6]:1:495;[8]:1:636;[23]:1:467;[38]:1:313;[43]:1:111;[65]:1:692
juice [8]:3:425,432,624;[20]:1:215;[24]:1:795;[40]:1:491
jump [12]:1:179;[15]:1:572;[16]:1:327;[18]:1:680;[20]:1:57;[22]:1:787;[23]:1:977;[40]:1:830;[65]:1:599
jumpsuits [11]:1:320
just [1]:5:72,330,497,533,617;[2]:1:762;[3]:1:326;[4]:3:261,304,316;[5]:1:300;[6]:5:176,242,611,778,882;[8]:5:48,210,274,307,697;[9]:2:118,895;[10]:1:661;[11]:4:549,563,603,716;[12]:2:102,879;[13]:4:49,357,868,971;[14]:5:605,650,697,803,818;[15]:3:482,704,913;[16]:2:142,963;[17]:6:61,234,447,755,940,952;[18]:2:167,858;[19]:1:921;[21]:2:171,876;[22]:5:346,759,781,921,923;[23]:2:241,960;[24]:4:151,236,546,548;[25]:1:211;[26]:4:307,457,943,971;[27]:7:38,115,122,274,703,827,849;[28]:3:224,386,471;[29]:3:252,273,914;[30]:3:702,858,887;[31]:3:131,281,843;[32]:2:720,753;[33]:2:160,237;[34]:2:471,555;[35]:2:347,460;[36]:2:322,609;[37]:2:244,766;[38]:2:392,480;[39]:7:141,213,322,371,498,515,654;[40]:5:362,386,461,496,713;[41]:2:220,815;[42]:4:557,732,819,878;[43]:2:158,603;[44]:3:123,519,734;[45]:2:40,970;[46]:1:745;[47]:1:413;[48]:3:280,629,839;[49]:3:11,181,562;[50]:3:705,924,972;[51]:2:170,902;[52]:6:185,322,465,532,725,859;[53]:2:781,839;[54]:3:227,621,654;[55]:3:577,639,701;[56]:1:473;[57]:3:182,879,951;[58]:3:197,227,839;[59]:5:294,446,603,808,928;[60]:3:591,642,825;[61]:1:732;[62]:1:649;[63]:1:416;[64]:1:187;[65]:4:338,490,552,572;[66]:2:67,516;[67]:3:261,543,604;[68]:3:410,661,938
justaching [36]:1:883
justdays [24]:1:99
justice [4]:2:440,920;[7]:2:307,748;[13]:1:176;[24]:1:74;[27]:1:152;[36]:1:229;[67]:1:679
justkeep [38]:1:877
justthat [20]:1:393
justwhimpering [1]:1:295
