lane [1]:1:2443
lap [1]:1:3871
large [1]:1:2902
late [1]:1:128
late3the [1]:1:3691
layer [1]:1:2039
lead [1]:1:383
lean [1]:1:2763
learn [1]:1:4039
learned [1]:1:390
least [1]:1:1025
leave [1]:6:1324,2303,2323,3832,4142,4173
left [1]:3:1085,2023,3746
less [1]:2:454,3531
let [1]:7:728,755,804,919,1995,2814,2831
lid [1]:2:2619,2690
life [1]:2:2615,3139
lift [1]:2:821,2617
like [1]:8:76,461,745,1170,2056,3510,3881,4030
lip [1]:2:1089,2401
liquor [1]:1:1176
listed [1]:1:1384
listen [1]:3:1639,4121,4126
little [1]:3:429,882,2393
live [1]:3:576,2454,4359
loaf [1]:2:3038,3203
loaves [1]:6:2903,3066,3107,3147,3258,3619
locke [1]:1:1865
log [1]:1:48
long [1]:2:1181,1621
longe [1]:1:1946
look [1]:7:645,1147,1150,1934,2640,3015,3623
loose [1]:1:3
loss [1]:1:1717
lost [1]:1:1883
lot [1]:1:1186
love [1]:1:1123
loved [1]:1:3823
lovely [1]:1:602
loving [1]:1:981
luscious [1]:1:2598
