table [1]:2:3162,3184
take [1]:10:552,993,1054,2268,2780,2820,3935,4288,4291,4314
taken [1]:2:1954,3698
takes [1]:1:1554
talk [1]:2:423,4068
target [1]:1:794
taught [1]:1:103
taunting [1]:1:1238
tea [1]:1:3188
teach [1]:1:4045
tear [1]:3:786,2942,3167
teary [1]:1:4066
televise [1]:1:773
telling [1]:3:2087,2647,3910
tenuous [1]:1:1406
terrify [1]:2:1857,4057
tesserae [1]:2:2112,3937
than [1]:4:431,1202,1216,3487
thank [1]:3:1113,3523,4023
thankyou [1]:1:3578
that [1]:40:189,262,405,518,720,802,867,902,1040,1422,1508,1861,1880,1941,1987,1996,2043,2115,2224,2289,2406,2447,2514,2758,2775,2906,2989,3023,3244,3304,3383,3414,3470,3477,3480,3735,3920,4097,4256,4332
the [1]:256:13,27,35,52,59,66,142,149,195,213,229,236,260,267,275,283,293,302,333,353,354,363,371,375,425,434,438,462,468,485,488,510,515,527,563,577,586,594,615,642,668,672,674,684,700,715,774,777,824,860,868,871,912,934,938,949,954,967,996,1076,1079,1142,1192,1210,1213,1227,1239,1255,1280,1300,1305,1320,1325,1331,1365,1387,1420,1424,1429,1438,1453,1482,1499,1515,1518,1538,1551,1578,1590,1612,1615,1620,1692,1700,1707,1713,1721,1758,1810,1821,1874,1907,1918,1950,1963,1975,1977,1985,2012,2038,2048,2050,2067,2111,2149,2168,2172,2188,2192,2198,2205,2210,2217,2229,2237,2261,2274,2294,2307,2327,2333,2335,2409,2413,2422,2425,2445,2449,2452,2467,2476,2495,2520,2532,2538,2552,2561,2563,2574,2578,2586,2594,2597,2601,2618,2621,2644,2659,2670,2676,2689,2728,2740,2756,2765,2773,2793,2817,2823,2837,2844,2849,2854,2872,2894,2911,2914,2926,2946,2952,2955,2961,2968,2982,2986,3011,3018,3024,3033,3044,3053,3056,3065,3076,3106,3113,3123,3126,3141,3146,3151,3161,3183,3192,3197,3224,3241,3245,3250,3257,3260,3298,3347,3350,3393,3419,3423,3435,3439,3460,3468,3475,3493,3543,3567,3594,3597,3627,3653,3656,3683,3693,3716,3720,3730,3749,3780,3786,3795,3809,3812,3816,3852,3912,3913,3952,3961,3964,3970,4055,4150,4196,4218,4221,4251,4336
thegithubdistrict [1]:1:501
their [1]:10:575,1084,1088,1983,1989,2456,2463,2760,3822,4357
them [1]:13:210,1576,2180,2815,2950,3086,3159,3270,3928,3930,3984,3991,3998
themall [1]:1:3911
then [1]:17:125,322,479,619,629,847,1020,1069,1071,1647,1840,2137,3028,3268,3403,3907,4287
there [1]:21:6,72,88,116,609,661,665,989,1753,1909,2078,2124,2265,2515,2839,3091,3580,3665,3847,3925,4178
they [1]:13:68,159,243,254,772,963,992,1001,3069,3092,3914,3938,4021
thick [1]:1:3757
thing [1]:1:1614
think [1]:6:1033,1190,1462,1646,3635,3664
this [1]:17:16,380,761,1017,1136,1152,1309,1468,1593,1632,3276,3454,3463,3833,4007,4166,4361
those [1]:6:1970,2165,2375,2524,2667,3618
though [1]:2:139,3737
thought [1]:5:412,2827,2876,3433,3535
thrash [1]:1:828
threadbare [1]:1:2254
three [1]:4:1080,1703,2310,4367
threw [1]:1:3036
throat [1]:2:1286,3593
through [1]:6:2171,2298,2673,2871,3715,4205
throw [1]:2:1156,3296
thrown [1]:1:3560
tied [1]:1:2488
tight [1]:3:3059,3116,3136
time [1]:15:1137,1182,1277,1395,1445,1694,1782,1875,2334,3142,3541,3813,4050,4167,4368
tiny [1]:1:2001
tired [1]:2:2810,2813
to [1]:126:21,85,95,110,120,136,168,235,285,298,301,316,351,385,391,396,474,551,573,769,843,875,909,926,933,1053,1087,1094,1120,1138,1144,1278,1363,1378,1386,1392,1396,1403,1419,1437,1446,1476,1530,1587,1618,1640,1650,1774,1788,1839,1852,1929,1998,2076,2082,2107,2120,2129,2163,2203,2251,2273,2286,2306,2368,2489,2549,2614,2620,2642,2649,2657,2779,2796,2822,2881,2925,2941,2964,3017,3052,3084,3138,3166,3179,3221,3238,3271,3328,3451,3453,3504,3547,3558,3564,3566,3574,3590,3608,3638,3727,3742,3800,3806,3818,3821,3828,3831,3865,3917,3926,3934,3982,4040,4044,4075,4113,4122,4127,4163,4182,4200,4211,4236,4313,4366
today [1]:1:1489
toddle [1]:1:3888
toface [1]:1:3652
tongue [1]:1:394
tonight [1]:1:779
too [1]:6:1584,2161,2284,2801,2805,4316
took [1]:2:1902,3013
topic [1]:1:460
touch [1]:1:1078
toward [1]:3:852,1498,2869
town [1]:2:2249,2729
townspeople [1]:1:2451
trade [1]:4:432,2252,4029,4106
trail [1]:1:633
train [1]:1:3853
trained [1]:3:1270,3500,4356
trash [1]:3:2521,2623,2675
treason [1]:2:1625,3601
treated [1]:1:4246
treaty [1]:2:1623,3599
tree [1]:3:36,2772,2794
trespass [1]:1:140
tribute [1]:6:521,588,929,1400,3724,3817
tricky [1]:1:459
tried [1]:3:1928,3726,4043
trill [1]:1:930
trinket [1]:5:605,866,932,1360,1558
triumphantly [1]:1:1200
trouble [1]:2:308,387
trough [1]:1:2953
true [1]:1:4264
truly [1]:1:1127
trunk [1]:1:2795
try [1]:2:1649,3805
trying [1]:3:1362,2250,3589
turn [1]:8:231,397,816,2102,3405,3491,3650,4112
twelve [1]:2:311,2103
twentyfour [1]:1:3668
two [1]:4:1569,2481,2901,4365
txt [0]:1:2
