wail [1]:1:2193
wait [1]:1:487
wake [1]:1:131
walk [1]:2:2404,3120
wall [1]:1:2185
want [1]:3:768,907,2655
warble [1]:1:1374
warm [1]:4:3155,3187,3338,3616
was [1]:39:108,117,123,345,903,1337,1611,1690,1754,1856,1864,1879,1910,2239,2283,2339,2384,2460,2546,2568,2634,2664,2715,2800,2804,2840,2864,2893,2921,2977,3026,3208,3300,3331,3363,3482,3886,4053,4241
wasnt [1]:1:2890
watch [1]:3:1491,2748,2978
water [1]:1:2317
waterproof [1]:1:200
wave [1]:1:1511
way [1]:6:1329,1497,2081,2754,2974,3373
we [1]:18:482,630,915,1007,1011,1666,2022,2072,2131,3199,3319,3448,3649,3696,3904,4071,4079,4284
weak [1]:2:10,2808
weakling [1]:1:796
weal [1]:1:2988
wealthy [1]:2:2450,4346
weapon [1]:1:161
wed [1]:1:2312
week [1]:1:2128
well [1]:7:192,862,1892,2133,3662,4089,4160
went [1]:2:2737,3427
were [1]:13:2073,2125,2266,2525,2576,2678,2916,3070,3093,3153,3449,3556,3704
what [1]:10:637,721,1369,1608,2863,2995,3101,3633,4159,4190
whatever [1]:1:4192
whats [1]:2:888,4138
when [1]:10:343,771,1450,2005,2558,3156,3415,3782,3884,4098
whenever [1]:1:4060
where [1]:8:312,441,451,480,585,1737,1747,4348
which [1]:5:436,561,1005,1382,1781
while [1]:3:991,1196,1826
whisk [1]:1:1353
who [1]:13:240,365,670,686,956,977,1344,2003,2014,2026,2146,2153,4363
whole [1]:1:4358
whom [1]:1:492
whove [1]:1:4354
why [1]:2:1643,3283
wife [1]:1:2646
wig [1]:1:1381
will [1]:12:781,798,1688,2935,3554,3666,3675,3848,3922,3967,4014,4338
win [1]:2:4325,4328
winner [1]:1:617
winning [1]:2:562,4349
wishfor [1]:1:1447
with [1]:33:171,185,491,593,648,692,703,880,1266,1311,1735,1897,2160,2234,2279,2318,2387,2395,2408,2699,2727,2885,3000,3213,3364,3441,3756,3775,3835,3990,4025,4090,4102
witness [1]:1:3100
woman [1]:1:2850
wonder [1]:1:2862
wont [1]:3:1592,3584,4155
woods [1]:10:28,67,143,196,284,486,1332,2423,3440,4056
word [1]:6:477,587,595,1193,1642,2677
work [0]:1:5;[1]:3:415,2155,3575
world [1]:1:1869
worry [1]:1:338
worst [1]:1:1693
would [1]:17:155,218,269,356,381,481,1346,1723,1741,1785,1952,2053,2101,2362,2733,3284,3305
wrapped [1]:3:198,739,3112
wraps [1]:1:3895
wreck [1]:1:1168
wrong [1]:1:1019
